source,target,relationship,description,strength
['国王'],['宝象国的国王'],人物与人物,国王指的是宝象国的国王，两者指代同一人物。,9.0
['唐天子'],['唐太宗李世民'],皇帝与人物,唐天子是唐朝皇帝的称呼，而唐太宗李世民是唐朝的第二位皇帝，这是一个皇帝与他的名字的对应关系。,8.5
['金甲神人'],['金甲神人'],人物与人物,金甲神人是金甲神人的名字，两者指代同一人物。,9.0
['镇殿将军'],['镇殿将军'],人物与人物,镇殿将军是镇殿将军的名字，两者指代同一人物。,9.0
['文武多官'],['宝象国的文武官员'],人物与人物,文武多官指的是宝象国的文武官员，两者指代同一群体。,8.5
['两班文武'],['宝象国的文武百官'],人物与人物,两班文武指的是宝象国的文武百官，两者指代同一群体。,8.5
['公主母后'],['宝象国的公主和母后'],人物与人物,公主母后指的是宝象国的公主和她的母后，两者指代同一家族成员。,8.0
['沙僧悟净'],['沙僧'],人物与人物,沙僧悟净是沙僧的别称，两者指代同一人物。,9.0
['八戒悟能'],['猪八戒'],人物与人物,八戒悟能是猪八戒的别称，两者指代同一人物。,9.0
['唐僧玄奘'],['唐僧'],人物与人物,唐僧玄奘是唐僧的别称，两者指代同一人物。,9.0
['唐太宗李世民'],['唐太宗李世民'],人物与人物,唐太宗李世民是唐太宗李世民的名字，两者指代同一人物。,9.0
['百花羞公主'],['百花羞'],人物与人物,百花羞公主是百花羞的别称，两者指代同一人物。,9.0
['黄袍怪魔王'],['黄袍怪'],人物与人物,黄袍怪魔王是黄袍怪的别称，两者指代同一人物。,9.0
['宝象国'],['宝象国'],地点与地点,宝象国是宝象国的名字，两者指代同一地点。,9.0
['碗子山波月洞'],['碗子山波月洞'],地点与地点,碗子山波月洞是碗子山波月洞的名字，两者指代同一地点。,9.0
['灵山'],['灵山'],地点与地点,灵山是灵山的名字，两者指代同一地点。,9.0
['长安城'],['长安城'],地点与地点,长安城是长安城的名字，两者指代同一地点。,9.0
['皇宫'],['皇宫'],地点与地点,皇宫是皇宫的名字，两者指代同一地点。,9.0
['金銮殿'],['金銮殿'],地点与地点,金銮殿是金銮殿的名字，两者指代同一地点。,9.0
['宝象国皇宫'],['宝象国皇宫'],地点与地点,宝象国皇宫是宝象国皇宫的名字，两者指代同一地点。,9.0
['碗子山'],['碗子山'],地点与地点,碗子山是碗子山的名字，两者指代同一地点。,9.0
['灵山圣地'],['灵山圣地'],地点与地点,灵山圣地是灵山圣地的名字，两者指代同一地点。,9.0
唐僧,孙行者,师徒关系,唐僧和孙行者是西天取经路上的师徒，共同面对各种困难和妖魔，体现了深厚的师徒关系。,8.0
唐僧,猪八戒,师徒关系,唐僧和猪八戒是西天取经路上的师徒，共同面对各种困难和妖魔，体现了深厚的师徒关系。,8.0
唐僧,沙和尚,师徒关系,唐僧和沙和尚是西天取经路上的师徒，共同面对各种困难和妖魔，体现了深厚的师徒关系。,8.0
唐僧,金角大王,敌人关系,金角大王是莲花洞的妖怪，意图吃掉唐僧，因此与唐僧是敌对关系。,7.5
唐僧,银角大王,敌人关系,银角大王是莲花洞的妖怪，意图吃掉唐僧，因此与唐僧是敌对关系。,7.5
孙行者,金角大王,敌人关系,孙行者和金角大王是敌对关系，因为金角大王想要吃掉唐僧，孙行者作为唐僧的大徒弟，必须保护师父。,7.0
孙行者,银角大王,敌人关系,孙行者和银角大王是敌对关系，因为银角大王想要吃掉唐僧，孙行者作为唐僧的大徒弟，必须保护师父。,7.0
猪八戒,金角大王,敌人关系,猪八戒和金角大王是敌对关系，因为金角大王想要吃掉唐僧，猪八戒作为唐僧的二徒弟，也必须保护师父。,6.5
猪八戒,银角大王,敌人关系,猪八戒和银角大王是敌对关系，因为银角大王想要吃掉唐僧，猪八戒作为唐僧的二徒弟，也必须保护师父。,6.5
沙和尚,金角大王,敌人关系,沙和尚和金角大王是敌对关系，因为金角大王想要吃掉唐僧，沙和尚作为唐僧的三徒弟，也必须保护师父。,6.5
沙和尚,银角大王,敌人关系,沙和尚和银角大王是敌对关系，因为银角大王想要吃掉唐僧，沙和尚作为唐僧的三徒弟，也必须保护师父。,6.5
孙行者,乌巢和尚,传授关系,乌巢和尚曾经向孙悟空传授《心经》，因此孙行者和乌巢和尚之间存在传授关系。,7.0
太宗,魏征,君臣关系,太宗和魏征是君臣关系，太宗作为皇帝，魏征作为政治家、军事家、文学家，对太宗有很高的评价。,8.0
唐僧,宝象国,经过地点,唐僧一行人曾经经过宝象国，宝象国是故事中的一个国家。,6.0
唐僧,莲花洞,经过地点,唐僧一行人曾经经过莲花洞，莲花洞是故事中的一个山洞。,6.0
唐僧,长安,出发地点,唐僧一行人从长安出发去西天取经，长安是唐朝的都城。,7.0
唐僧,舍利国,目的地,唐僧的目的是前往舍利国拜佛，舍利国是故事中的一个国家。,7.0
唐僧,平顶山,经过地点,唐僧一行人曾经经过平顶山，平顶山是故事中的一个山。,6.0
唐僧,日值功曹,遇见人物,唐僧一行人遇见了日值功曹，日值功曹负责传递消息。,6.0
唐僧,高老庄,遇见地点,唐僧一行人曾经经过高老庄，高老庄是猪八戒的原籍。,6.0
唐僧,流沙河,遇见地点,唐僧一行人曾经经过流沙河，流沙河是沙僧的家乡。,6.0
金角大王,银角大王,兄弟关系,金角大王和银角大王是莲花洞的妖怪，他们是兄弟关系。,7.0
小怪,莲花洞,所属地点,小怪是莲花洞的妖精手下，莲花洞是小怪的所属地点。,6.0
孙行者,师父,师徒关系,孙行者和师父（唐僧）在取经路上同行，共同面对困难和挑战，体现了师徒关系。,8.5
猪八戒,师父,师徒关系,猪八戒作为唐僧的徒弟，和师父一起西行取经，体现了师徒关系。,8.0
沙和尚,师父,师徒关系,沙和尚作为唐僧的徒弟，和师父一起西行取经，体现了师徒关系。,8.0
菩萨,唐僧,求助关系,唐僧在取经路上遇到困难时，向菩萨求助，体现了求助关系。,7.5
老君,唐僧,求助关系,唐僧在取经路上遇到困难时，向老君求助，体现了求助关系。,7.0
太阳,长安城,地理位置,太阳位于天空，长安城位于地球表面，太阳是长安城的地理位置之一。,6.5
高山,孙行者,所在地点,孙行者在高山上行动，体现了所在地点的关系。,7.0
青天,孙行者,所在地点,孙行者在青天（晴朗的天空）上行动，体现了所在地点的关系。,7.0
山门,唐僧,经过地点,唐僧在取经路上经过山门，体现了经过地点的关系。,6.0
大雄宝殿,唐僧,经过地点,唐僧在取经路上经过大雄宝殿，体现了经过地点的关系。,6.0
方丈,唐僧,经过地点,唐僧在取经路上经过方丈，体现了经过地点的关系。,6.0
禅堂,唐僧,经过地点,唐僧在取经路上经过禅堂，体现了经过地点的关系。,6.0
正殿,唐僧,经过地点,唐僧在取经路上经过正殿，体现了经过地点的关系。,6.0
后门,唐僧,经过地点,唐僧在取经路上经过后门，体现了经过地点的关系。,6.0
正殿后边,唐僧,经过地点,唐僧在取经路上经过正殿后边，体现了经过地点的关系。,6.0
三门,唐僧,经过地点,唐僧在取经路上经过三门，体现了经过地点的关系。,6.0
狗洞,唐僧,经过地点,唐僧在取经路上经过狗洞，体现了经过地点的关系。,6.0
正殿上,唐僧,经过地点,唐僧在取经路上经过正殿上，体现了经过地点的关系。,6.0
东边,唐僧,经过地点,唐僧在取经路上经过东边，体现了经过地点的关系。,6.0
西边,唐僧,经过地点,唐僧在取经路上经过西边，体现了经过地点的关系。,6.0
两廊,唐僧,经过地点,唐僧在取经路上经过两廊，体现了经过地点的关系。,6.0
汉苑,唐僧,经过地点,唐僧在取经路上经过汉苑，体现了经过地点的关系。,6.0
秦楼,唐僧,经过地点,唐僧在取经路上经过秦楼，体现了经过地点的关系。,6.0
沧海,唐僧,经过地点,唐僧在取经路上经过沧海，体现了经过地点的关系。,6.0
碧天,唐僧,经过地点,唐僧在取经路上经过碧天，体现了经过地点的关系。,6.0
别馆,唐僧,经过地点,唐僧在取经路上经过别馆，体现了经过地点的关系。,6.0
山村野店,唐僧,经过地点,唐僧在取经路上经过山村野店，体现了经过地点的关系。,6.0
故园,唐僧,经过地点,唐僧在取经路上经过故园，体现了经过地点的关系。,6.0
佛门,唐僧,经过地点,唐僧在取经路上经过佛门，体现了经过地点的关系。,6.0
宝山,唐僧,经过地点,唐僧在取经路上经过宝山，体现了经过地点的关系。,6.0
方丈、佛殿、钟鼓楼、两廊,唐僧,经过地点,唐僧在取经路上经过方丈、佛殿、钟鼓楼、两廊，体现了经过地点的关系。,6.0
山寺,唐僧,经过地点,唐僧在取经路上经过山寺，体现了经过地点的关系。,6.0
故田,唐僧,经过地点,唐僧在取经路上经过故田，体现了经过地点的关系。,6.0
长江,唐僧,经过地点,唐僧在取经路上经过长江，体现了经过地点的关系。,6.0
江船,唐僧,经过地点,唐僧在取经路上经过江船，体现了经过地点的关系。,6.0
庭中,唐僧,经过地点,唐僧在取经路上经过庭中，体现了经过地点的关系。,6.0
窗轩,唐僧,经过地点,唐僧在取经路上经过窗轩，体现了经过地点的关系。,6.0
院宇,唐僧,经过地点,唐僧在取经路上经过院宇，体现了经过地点的关系。,6.0
山寺,唐僧,经过地点,唐僧在取经路上经过山寺，体现了经过地点的关系。,6.0
故园,唐僧,经过地点,唐僧在取经路上经过故园，体现了经过地点的关系。,6.0
西天,唐僧,目的地,唐僧的目标是西天，体现了目的地的关系。,8.0
太宗,唐太宗李世民,君臣关系,太宗李世民是唐朝的皇帝，而唐太宗是太宗李世民的别称，所以太宗与唐太宗李世民之间存在君臣关系。,8.5
太宗,魏征,君臣关系,太宗李世民是唐朝的皇帝，魏征是他的政治家、军事家、文学家。太宗与魏征之间存在君臣关系。,8.0
长老,唐僧,师徒关系,长老指的是唐僧，他们是师徒关系。,7.5
八戒,孙悟空,师兄弟关系,八戒和孙悟空都是唐僧的徒弟，因此他们是师兄弟关系。,7.0
沙僧,孙悟空,师兄弟关系,沙僧和孙悟空都是唐僧的徒弟，因此他们是师兄弟关系。,7.0
三藏,唐僧,同一个人,三藏是唐僧的别称，所以三藏和唐僧是同一个人。,10.0
孙大圣,孙悟空,同一个人,孙大圣是孙悟空的别称，所以孙大圣和孙悟空是同一个人。,10.0
乌鸡国,乌鸡国王,国家与君主关系,乌鸡国是乌鸡国王的领地，所以乌鸡国和乌鸡国王之间存在国家与君主关系。,7.0
南天门,天宫,入口,南天门是天宫的南门，是进入天宫的入口。,6.5
灵霄殿,天宫,正殿,灵霄殿是天宫的正殿，是天宫的中心。,6.0
兜率宫,太上老君,居所,兜率宫是太上老君的居所，所以兜率宫和太上老君之间存在居所关系。,7.0
宝林寺,乌鸡国王,休息地,宝林寺是孙悟空在乌鸡国救出国王后休息的地方，所以宝林寺和乌鸡国王之间存在休息地关系。,6.0
东观,唐僧师徒,所在地点,东观是唐僧师徒所在的地方，所以东观和唐僧师徒之间存在所在地点关系。,6.5
乌斯国界高家庄,猪八戒,收徒地点,乌斯国界高家庄是孙悟空在取经途中收猪八戒的地方，所以乌斯国界高家庄和猪八戒之间存在收徒地点关系。,6.0
流沙河界,沙悟净,收徒地点,流沙河界是孙悟空在取经途中收沙悟净的地方，所以流沙河界和沙悟净之间存在收徒地点关系。,6.0
敕建宝林寺,乌鸡国王,休息地,敕建宝林寺是孙悟空在乌鸡国救出国王后休息的地方，所以敕建宝林寺和乌鸡国王之间存在休息地关系。,6.0
金銮殿,乌鸡国王,宫殿,金銮殿是乌鸡国王的宫殿，所以金銮殿和乌鸡国王之间存在宫殿关系。,7.0
白玉阶,金銮殿,台阶,白玉阶是金銮殿前的台阶，所以白玉阶和金銮殿之间存在台阶关系。,6.0
东北上,孙悟空,追捕方向,东北上是孙悟空追捕魔王的方向，所以东北上和孙悟空之间存在追捕方向关系。,6.0
五台山,文殊菩萨,道场,五台山是文殊菩萨的道场，所以五台山和文殊菩萨之间存在道场关系。,7.0
孙大圣,八戒,师兄弟关系,孙大圣和八戒都是唐僧的徒弟，共同保护唐僧西天取经，因此他们之间是师兄弟关系。,7.5
孙大圣,沙僧,师兄弟关系,孙大圣和沙僧也是唐僧的徒弟，共同保护唐僧西天取经，因此他们之间是师兄弟关系。,7.5
孙大圣,唐僧,徒弟与师父关系,孙大圣是唐僧的徒弟，保护唐僧西天取经，他们之间是徒弟与师父的关系。,8.0
孙大圣,红孩儿,敌对关系,孙大圣与红孩儿在取经途中相遇，红孩儿捉了唐僧，孙大圣为了救唐僧与红孩儿交战，因此他们是敌对关系。,7.0
八戒,沙僧,师兄弟关系,八戒和沙僧都是唐僧的徒弟，共同保护唐僧西天取经，因此他们之间是师兄弟关系。,7.5
八戒,唐僧,徒弟与师父关系,八戒是唐僧的徒弟，保护唐僧西天取经，他们之间是徒弟与师父的关系。,8.0
沙僧,唐僧,徒弟与师父关系,沙僧是唐僧的徒弟，保护唐僧西天取经，他们之间是徒弟与师父的关系。,8.0
红孩儿,牛魔王,父子关系,红孩儿是牛魔王的儿子，他们之间是父子关系。,8.5
孙大圣,龙宫,求助关系,孙大圣为了灭火，向龙宫龙王求助，因此他们之间是求助关系。,7.0
孙大圣,水晶宫,求助关系,孙大圣为了灭火，向水晶宫龙王求助，因此他们之间是求助关系。,7.0
孙大圣,南海,求助关系,孙大圣为了灭火，向南海观音菩萨求助，因此他们之间是求助关系。,7.0
孙大圣,北海,求助关系,孙大圣为了灭火，向北海龙王求助，因此他们之间是求助关系。,7.0
孙大圣,西海,求助关系,孙大圣为了灭火，向西海龙王求助，因此他们之间是求助关系。,7.0
红孩儿,号山枯松涧火云洞,居住地关系,红孩儿居住在号山枯松涧火云洞，因此他们之间是居住地关系。,8.0
唐三藏,孙悟空,师徒关系,唐三藏是唐僧取经的主要人物，孙悟空是他的大徒弟，因此他们之间存在师徒关系。,9.0
唐三藏,猪八戒,师徒关系,唐三藏是唐僧取经的主要人物，猪八戒是他的二徒弟，因此他们之间存在师徒关系。,9.0
唐三藏,沙僧,师徒关系,唐三藏是唐僧取经的主要人物，沙僧是他的三徒弟，因此他们之间存在师徒关系。,9.0
唐三藏,龙子,师徒关系,唐三藏是唐僧取经的主要人物，龙子是他的徒弟，因此他们之间存在师徒关系。,8.5
唐三藏,黑水河神,求助关系,唐三藏和黑水河神有求助关系，因为黑水河神帮助唐僧师徒过黑水河。,8.0
唐三藏,车迟国,途经地点,唐三藏在取经途中经过车迟国，因此他们之间存在途经地点的关系。,7.5
唐三藏,三清观,求助关系,唐三藏在车迟国求助三清观，因此他们之间存在求助关系。,7.0
唐三藏,智渊寺,途经地点,唐三藏在取经途中经过智渊寺，因此他们之间存在途经地点的关系。,7.0
唐三藏,五谷轮回之所,途经地点,唐三藏在取经途中经过五谷轮回之所，因此他们之间存在途经地点的关系。,6.5
孙悟空,猪八戒,师兄弟关系,孙悟空和猪八戒都是唐僧的徒弟，因此他们之间存在师兄弟关系。,8.0
孙悟空,沙僧,师兄弟关系,孙悟空和沙僧都是唐僧的徒弟，因此他们之间存在师兄弟关系。,8.0
孙悟空,龙子,师兄关系,孙悟空是唐僧的大徒弟，龙子是他的徒弟，因此他们之间存在师兄关系。,7.5
孙悟空,黑水河神,求助关系,孙悟空和黑水河神有求助关系，因为黑水河神帮助唐僧师徒过黑水河。,7.0
孙悟空,车迟国,途经地点,孙悟空在取经途中经过车迟国，因此他们之间存在途经地点的关系。,6.5
孙悟空,三清观,求助关系,孙悟空在车迟国求助三清观，因此他们之间存在求助关系。,6.0
孙悟空,智渊寺,途经地点,孙悟空在取经途中经过智渊寺，因此他们之间存在途经地点的关系。,5.5
孙悟空,五谷轮回之所,途经地点,孙悟空在取经途中经过五谷轮回之所，因此他们之间存在途经地点的关系。,5.0
猪八戒,沙僧,师兄弟关系,猪八戒和沙僧都是唐僧的徒弟，因此他们之间存在师兄弟关系。,8.0
猪八戒,龙子,师兄关系,猪八戒是唐僧的二徒弟，龙子是他的徒弟，因此他们之间存在师兄关系。,7.5
猪八戒,黑水河神,求助关系,猪八戒和黑水河神有求助关系，因为黑水河神帮助唐僧师徒过黑水河。,7.0
猪八戒,车迟国,途经地点,猪八戒在取经途中经过车迟国，因此他们之间存在途经地点的关系。,6.5
猪八戒,三清观,求助关系,猪八戒在车迟国求助三清观，因此他们之间存在求助关系。,6.0
猪八戒,智渊寺,途经地点,猪八戒在取经途中经过智渊寺，因此他们之间存在途经地点的关系。,5.5
猪八戒,五谷轮回之所,途经地点,猪八戒在取经途中经过五谷轮回之所，因此他们之间存在途经地点的关系。,5.0
沙僧,龙子,师兄关系,沙僧是唐僧的三徒弟，龙子是他的徒弟，因此他们之间存在师兄关系。,7.5
沙僧,黑水河神,求助关系,沙僧和黑水河神有求助关系，因为黑水河神帮助唐僧师徒过黑水河。,7.0
沙僧,车迟国,途经地点,沙僧在取经途中经过车迟国，因此他们之间存在途经地点的关系。,6.5
沙僧,三清观,求助关系,沙僧在车迟国求助三清观，因此他们之间存在求助关系。,6.0
沙僧,智渊寺,途经地点,沙僧在取经途中经过智渊寺，因此他们之间存在途经地点的关系。,5.5
沙僧,五谷轮回之所,途经地点,沙僧在取经途中经过五谷轮回之所，因此他们之间存在途经地点的关系。,5.0
龙子,黑水河神,同助关系,龙子和黑水河神都帮助唐僧师徒过黑水河，因此他们之间存在同助关系。,7.0
龙子,车迟国,途经地点,龙子在取经途中经过车迟国，因此他们之间存在途经地点的关系。,6.5
龙子,三清观,求助关系,龙子在车迟国求助三清观，因此他们之间存在求助关系。,6.0
龙子,智渊寺,途经地点,龙子在取经途中经过智渊寺，因此他们之间存在途经地点的关系。,5.5
龙子,五谷轮回之所,途经地点,龙子在取经途中经过五谷轮回之所，因此他们之间存在途经地点的关系。,5.0
黑水河神,车迟国,途经地点,黑水河神在取经途中经过车迟国，因此他们之间存在途经地点的关系。,6.5
黑水河神,三清观,求助关系,黑水河神在车迟国求助三清观，因此他们之间存在求助关系。,6.0
黑水河神,智渊寺,途经地点,黑水河神在取经途中经过智渊寺，因此他们之间存在途经地点的关系。,5.5
黑水河神,五谷轮回之所,途经地点,黑水河神在取经途中经过五谷轮回之所，因此他们之间存在途经地点的关系。,5.0
车迟国,三清观,国家与地点关系,车迟国是故事中提到的国家，三清观位于车迟国，因此他们之间存在国家与地点的关系。,7.0
车迟国,智渊寺,国家与地点关系,车迟国是故事中提到的国家，智渊寺位于车迟国，因此他们之间存在国家与地点的关系。,6.5
车迟国,五谷轮回之所,国家与地点关系,车迟国是故事中提到的国家，五谷轮回之所位于车迟国，因此他们之间存在国家与地点的关系。,6.0
三清观,智渊寺,地点与地点关系,三清观和智渊寺都是故事中提到的地点，因此他们之间存在地点与地点的关系。,6.5
三清观,五谷轮回之所,地点与地点关系,三清观和五谷轮回之所都是故事中提到的地点，因此他们之间存在地点与地点的关系。,6.0
智渊寺,五谷轮回之所,地点与地点关系,智渊寺和五谷轮回之所都是故事中提到的地点，因此他们之间存在地点与地点的关系。,6.0
孙大圣,沙和尚,师徒关系,孙大圣、沙和尚和猪八戒是唐僧的徒弟，他们共同西天取经，因此他们之间存在师徒关系。,8.5
孙大圣,猪八戒,师徒关系,孙大圣、沙和尚和猪八戒是唐僧的徒弟，他们共同西天取经，因此他们之间存在师徒关系。,8.5
孙大圣,三清,道教神祇关系,孙大圣在车迟国大圣留名时，提到了三清，表明他们与道教神祇有联系。,7.0
孙大圣,车迟国,故事发生地,车迟国是《西游记》中的一个虚构国家，孙大圣在此地大圣留名，因此与车迟国有关系。,6.0
沙和尚,智渊寺,停留地,沙和尚和猪八戒与孙大圣在智渊寺停留，因此与智渊寺有直接关系。,6.5
猪八戒,五凤楼,会面地点,猪八戒在五凤楼与国王会面，因此与五凤楼有直接关系。,6.0
太宗,魏征,君臣关系,太宗与魏征在便殿对弈，体现了君臣关系，且太宗对魏征的评价非常高，因此认为他们之间存在紧密的君臣关系。,8.5
太宗,东土大唐,出生地,太宗李世民是东土大唐的皇帝，因此与东土大唐有直接关系。,7.0
魏征,唐朝,时代人物,魏征是唐朝政治家、军事家、文学家，因此与唐朝有直接关系。,7.0
三清,道教,宗教神祇,三清是道教中的三位最高神祇，因此与道教有直接关系。,7.0
车迟国,《西游记》,故事背景,车迟国是《西游记》中的一个虚构国家，因此与《西游记》有直接关系。,7.0
智渊寺,《西游记》,故事背景,智渊寺是《西游记》中的一个寺庙，因此与《西游记》有直接关系。,7.0
五凤楼,《西游记》,故事背景,五凤楼是车迟国皇宫中的建筑，因此与《西游记》有直接关系。,7.0
南赡部洲,《西游记》,故事背景,南赡部洲是《西游记》中的一个虚构的大陆，因此与《西游记》有直接关系。,7.0
东土大唐,《西游记》,故事背景,东土大唐是《西游记》中的一个虚构的国家，因此与《西游记》有直接关系。,7.0
九天应元雷声普化天尊府,《西游记》,故事背景,九天应元雷声普化天尊府是《西游记》中的一个虚构的地点，因此与《西游记》有直接关系。,7.0
四海龙王府,《西游记》,故事背景,四海龙王府是《西游记》中的一个虚构的地点，因此与《西游记》有直接关系。,7.0
天关,《西游记》,故事背景,天关是《西游记》中的一个虚构的地点，因此与《西游记》有直接关系。,7.0
斗府,《西游记》,故事背景,斗府是《西游记》中的一个虚构的地点，因此与《西游记》有直接关系。,7.0
铁叉山,《西游记》,故事背景,铁叉山是《西游记》中的一个虚构的地点，因此与《西游记》有直接关系。,7.0
东洋海,《西游记》,故事背景,东洋海是《西游记》中的一个虚构的海洋，因此与《西游记》有直接关系。,7.0
长江,《西游记》,故事背景,长江是中国的一条著名河流，也是《西游记》中的一个重要地点。,7.0
太宗,魏征,君臣关系,太宗与魏征在便殿对弈，体现了君臣关系，且太宗对魏征的评价非常高，因此认为他们之间存在紧密的君臣关系。,8.5
孙行者,唐僧,师徒关系,孙行者是唐僧的大徒弟，两人一同取经，关系紧密，是师徒关系。,9.0
孙行者,八戒,师兄弟关系,孙行者和八戒都是唐僧的徒弟，关系亲近，是师兄弟关系。,8.0
孙行者,沙僧,师兄弟关系,孙行者和沙僧都是唐僧的徒弟，关系亲近，是师兄弟关系。,8.0
国王,孙行者,对手关系,国王和孙行者在法力较量中互为对手，关系紧张。,7.5
道士,孙行者,对手关系,道士与孙行者在法力较量中互为对手，关系紧张。,7.0
鹿力大仙,孙行者,对手关系,鹿力大仙与孙行者在隔板知物之法上互为对手，关系紧张。,7.0
虎力大仙,孙行者,对手关系,虎力大仙与孙行者在坐禅上互为对手，关系紧张。,7.0
羊力大仙,孙行者,对手关系,羊力大仙与孙行者在滚油锅洗澡上互为对手，关系紧张。,7.0
国王,金銮殿,地点关系,国王坐在金銮殿上，金銮殿是国王的宝座所在之地。,7.0
国王,文华殿,地点关系,国王在文华殿中，文华殿是国王的宫殿之一。,7.0
国王,御花园,地点关系,国王的私人花园是御花园。,7.0
国王,杀场,地点关系,国王的杀场是执行死刑的地方。,7.0
国王,油锅,地点关系,国王的油锅用于煮食和惩罚。,7.0
"['太宗', '魏征']","['唐太宗李世民', '魏征']",君臣关系,太宗与魏征在便殿对弈，体现了君臣关系，且太宗对魏征的评价非常高，因此认为他们之间存在紧密的君臣关系。,8.5
"['国王', '行者']","['本国的君主', '唐僧的大徒弟']",求助关系,国王面临妖邪之害，求助行者解救，体现了求助关系。,7.0
"['行者', '国王']","['唐僧的大徒弟', '本国的君主']",救助关系,行者帮助国王除妖邪，体现了救助关系。,8.0
"['行者', '和尚']","['唐僧的大徒弟', '出家人']",同行关系,行者作为和尚的徒弟，体现了同行关系。,6.0
"['行者', '僧人']","['唐僧的大徒弟', '出家人']",同行关系,行者作为僧人的同伴，体现了同行关系。,6.0
"['国王', '僧人']","['本国的君主', '出家人']",招待关系,国王招待僧人，体现了招待关系。,5.5
"['国王', '唐僧']","['本国的君主', '东土大唐的僧人']",招待关系,国王招待唐僧，体现了招待关系。,5.5
"['行者', '唐僧']","['唐僧的大徒弟', '东土大唐的僧人']",师徒关系,行者是唐僧的大徒弟，体现了师徒关系。,9.0
"['行者', '沙僧']","['唐僧的大徒弟', '唐僧的三徒弟']",师兄弟关系,行者和沙僧是唐僧的徒弟，体现了师兄弟关系。,8.0
"['行者', '八戒']","['唐僧的大徒弟', '唐僧的二徒弟']",师兄弟关系,行者和八戒是唐僧的徒弟，体现了师兄弟关系。,8.0
"['国王', '皇后嫔妃']","['本国的君主', '皇室的成员']",君臣关系,国王和皇后嫔妃是君臣关系。,6.0
"['国王', '文武多官']","['本国的君主', '朝廷的官员']",君臣关系,国王和文武多官是君臣关系。,6.0
"['国王', '关文']","['本国的君主', '官方文书']",发布关系,国王发布关文，体现了发布关系。,5.0
"['国王', '智渊寺']","['本国的君主', '寺庙的名称']",访问关系,国王访问智渊寺，体现了访问关系。,5.0
"['国王', '长安']","['本国的君主', '唐朝的都城']",出生地关系,国王出生于长安，体现了出生地关系。,6.0
"['国王', '通天河']","['本国的君主', '河流的名称']",国家地理关系,国王的国家有通天河，体现了国家地理关系。,5.0
"['国王', '车迟国']","['本国的君主', '国家的名称']",国家关系,国王是车迟国的君主，体现了国家关系。,5.0
"['国王', '陈家庄']","['本国的君主', '村庄的名称']",国家地理关系,国王的国家有陈家庄，体现了国家地理关系。,5.0
"['行者', '灵感大王庙']","['唐僧的大徒弟', '庙宇的名称']",祭拜关系,行者前往灵感大王庙祭拜，体现了祭拜关系。,6.0
"['行者', '西天']","['唐僧的大徒弟', '佛教传说中的西方极乐世界']",取经目的地关系,行者的取经目的地是西天，体现了取经目的地关系。,8.0
"['行者', '天井']","['唐僧的大徒弟', '房屋中的露天空间']",活动地点关系,行者在天井活动，体现了活动地点关系。,5.0
"['行者', '佛象']","['唐僧的大徒弟', '佛像']",信仰关系,行者信仰佛教，体现了信仰关系。,7.0
"['行者', '人烟']","['唐僧的大徒弟', '人类居住的区域']",活动地点关系,行者在人烟活动，体现了活动地点关系。,5.0
陈家庄,陈澄,居住地,陈澄是陈家庄的庄头，因此居住在陈家庄。,8.0
陈家庄,陈清,居住地,陈清是陈家庄的庄头，因此居住在陈家庄。,8.0
灵感庙,陈家庄,位于,灵感庙是陈家庄的信众祭祀的地方，因此位于陈家庄。,7.5
通天河,唐僧,经过,唐僧师徒在取经的路上经过了通天河，遭遇困难。,7.0
通天河,灵感大王,居住地,灵感大王住在通天河中。,7.0
西梁女国,通天河,对岸,西梁女国位于通河的对岸。,7.0
唐僧,孙悟空,师徒关系,孙悟空是唐僧的大徒弟，他们之间是师徒关系。,9.0
唐僧,猪八戒,师徒关系,猪八戒是唐僧的二徒弟，他们之间是师徒关系。,9.0
唐僧,沙僧,师徒关系,沙僧是唐僧的三徒弟，他们之间是师徒关系。,9.0
唐僧,白马,坐骑,白马是唐僧的坐骑。,8.5
灵感大王,唐僧,目标,灵感大王想要捉住唐僧，因此唐僧是其目标。,7.5
灵感大王,鳜婆,合作,灵感大王与鳜婆合作，共同捉拿唐僧。,7.0
陈老,唐僧,接待,陈老在陈家庄接待了唐僧师徒，提供食宿。,7.0
孙大圣,八戒,师兄弟关系,孙大圣、八戒和沙僧是唐僧的徒弟，他们之间是师兄弟关系，共同取经，关系密切。,8.5
孙大圣,沙僧,师兄弟关系,孙大圣、八戒和沙僧是唐僧的徒弟，他们之间是师兄弟关系，共同取经，关系密切。,8.5
孙大圣,观音,求助关系,孙大圣遇到困难时会向观音菩萨求助，观音菩萨也多次帮助孙大圣，他们之间存在求助关系。,8.0
八戒,沙僧,师兄弟关系,八戒和沙僧是唐僧的徒弟，他们之间是师兄弟关系，共同取经，关系密切。,8.0
唐僧,孙大圣,师徒关系,孙大圣是唐僧的大徒弟，他们之间存在师徒关系，共同西天取经。,8.0
唐僧,八戒,师徒关系,八戒是唐僧的二徒弟，他们之间存在师徒关系，共同西天取经。,8.0
唐僧,沙僧,师徒关系,沙僧是唐僧的三徒弟，他们之间存在师徒关系，共同西天取经。,8.0
陈老来,八戒,师徒关系,陈老来是八戒的师傅，他们之间存在师徒关系。,7.5
观音,老鼋,救助关系,观音菩萨帮助老鼋，使其能帮助唐僧师徒渡过通天河，他们之间存在救助关系。,7.0
