source,target,relationship,description,strength
黄袍郎,妖魔,同一阵营,黄袍郎是妖魔之王，故事中妖魔听从黄袍郎的命令，这表明他们是同一阵营的关系。,8
八戒,沙僧,同伴关系,八戒和沙僧一同与妖魔战斗，并在之后一起行走，这显示他们是同伴关系。,8
八戒,妖魔,敌对关系,八戒与妖魔在半空中战斗，这表明他们之间存在敌对关系。,7
沙僧,妖魔,敌对关系,沙僧与妖魔在半空中战斗，这同样表明他们之间存在敌对关系。,7
三藏,唐朝僧人,同一人,三藏就是唐朝僧人，这是同一身份的不同称呼。,10
三藏,国王,外交互动,三藏向国王请求更换文牒，国王表示欢迎并同意，这表明他们之间存在外交上的互动。,7
国王,宝象国,统治者与国家,国王是宝象国的君主，对该国有统治权。,10
三藏,宝象国,过境关系,三藏路过宝象国，并在该国停留，这表明他与宝象国有过境关系。,6
三藏,太宗,君臣关系,三藏对太宗的尊敬和服从，以及太宗对三藏的信任和期望，体现了他们之间的君臣关系。,8.0
三藏,泾河老龙,因果关系,三藏因未能救泾河老龙而受谴，显示了他们之间的因果关系。,6.5
三藏,救苦观世音菩萨,指导关系,观世音菩萨指示三藏去西方取经，表明了他们之间的指导关系。,7.5
三藏,法师玄奘,身份关系,三藏即玄奘，两者是同一人，存在身份上的关系。,9.0
三藏,公主娘娘,救助关系,三藏寄出家书，希望救助被黄袍妖摄去的公主，显示了他们之间的救助关系。,7.0
三藏,黄袍妖,敌对关系,三藏要帮助国王捉拿黄袍妖，他们之间存在敌对关系。,7.5
三藏,悟能八戒,师徒关系,悟能八戒是三藏的大徒弟，他们之间存在师徒关系。,8.5
三藏,悟净和尚,师徒关系,悟净和尚是三藏的二徒弟，他们之间存在师徒关系。,8.0
太宗,公主娘娘,父女关系,太宗是公主的父亲，对公主失踪表示哀痛，体现了他们之间的父女关系。,9.0
公主娘娘,黄袍妖,受害关系,公主被黄袍妖摄去十三年，存在受害关系。,8.0
黄袍妖,碗子山波月洞,空间关系,黄袍妖在碗子山波月洞居住，存在空间上的关系。,7.0
悟能八戒,悟净和尚,同伴关系,两者都是三藏的徒弟，共同保护三藏取经，存在同伴关系。,8.0
猪长老,沙僧,师兄弟关系,两者都是唐僧的徒弟，一同行动，共同对抗妖怪，体现了紧密的师兄弟关系。,8.0
猪长老,国王,恩赐与被恩赐关系,国王对猪长老的尊重和赏赐御酒，猪长老接受并表达了对国王的敬意，体现了恩赐与被恩赐的关系。,7.5
唐僧,国王,尊重关系,唐僧对国王表现出恭敬的态度，国王也对唐僧礼遇有加，表现了相互尊重的关系。,7.0
沙僧,黄袍怪,敌对关系,沙僧与黄袍怪交战，且担心八戒不是对手，体现了明显的敌对关系。,6.5
猪长老,黄袍怪,敌对关系,猪长老用钉钯破坏了黄袍怪的洞府门，表明了他们之间的敌对状态。,6.5
小妖,沙僧,敌对关系,小妖对沙僧和猪长老的到来感到惊恐，并迅速报告给上级，显示了敌对的态度。,5.5
小妖,猪长老,敌对关系,同上，小妖对猪长老的行为也表现出敌对关系。,5.5
猪长老,波月洞,行动目标关系,猪长老来到波月洞，目的是为了捉拿妖怪，体现了行动目标与地点的关系。,4.5
沙僧,波月洞,行动目标关系,沙僧同样前往波月洞参与捉妖行动，与地点存在行动目标上的关系。,4.5
妖怪,三公主,婚姻关系,妖怪骗来宝象国的三公主，霸占为妻，体现了婚姻关系。,8.0
八戒,沙僧,师兄弟关系,八戒和沙僧都是唐僧的徒弟，一起行动，体现了师兄弟关系。,7.5
唐僧,太宗,君臣关系,唐僧奉太宗之命西行取经，体现了君臣关系。,8.5
妖怪,宝象国,敌对关系,妖怪霸占宝象国的三公主，与宝象国存在敌对关系。,7.0
三公主,宝象国,血缘关系,三公主是宝象国的公主，与宝象国存在血缘关系。,9.0
八戒,妖怪,敌对关系,八戒为了解救三公主，与妖怪展开战斗，体现了敌对关系。,7.5
沙僧,妖怪,敌对关系,沙僧被妖怪捉住，并在最后关头为了保护公主和师父，与妖怪形成敌对关系。,7.0
唐僧,妖怪,敌对关系,唐僧被妖怪捉住，徒弟们为了救他而与妖怪展开斗争，体现了敌对关系。,7.0
公主,老妖,夫妻关系,根据文中的描述，老妖与公主配合，且有婚姻之实，因此他们之间存在夫妻关系。,8.0
国王,公主,父女关系,公主是国王的女儿，这是他们之间明确的亲属关系。,9.5
老妖,碗子山,居住地关系,文中提到老妖是城东碗子山波月庄人家，说明他的居住地与碗子山有直接关系。,7.5
老妖,波月庄,居住地关系,老妖的居住地在波月庄，这是他的居住地标识。,8.0
唐僧,小龙王,师徒关系,小龙王是唐僧的白马，驮唐僧取经，他们在取经路上是师徒关系。,9.0
小龙王,金亭馆驿,所在地点关系,文中提到小龙王在金亭馆驿，作为白马在槽上吃草吃料，说明他在那个地点。,7.0
唐僧,老妖,敌对关系,妖精将唐僧变成了猛虎，他们之间存在敌对关系。,8.5
丁甲,唐僧,保护关系,这些神祇暗中保护唐僧，显示了他们与唐僧之间的保护关系。,9.0
揭谛,唐僧,保护关系,同上,9.0
功曹,唐僧,保护关系,同上,9.0
护教,唐僧,保护关系,同上,9.0
怪物,小龙,combatants,"The monster and Xiao Long engage in a fight, indicating a clear combatant relationship.",7
小龙,妖精,adversaries,"Xiao Long attempts to fight the monster and is defeated, making them adversaries.",8
小龙,猪八戒,companions,"Xiao Long and Zhu Bajie are part of the same group and are in a conversation, indicating a companionship.",9
猪八戒,沙僧,companions,"Zhu Bajie is concerned about Sha Wujing's capture and is planning to rescue him, showing a companionship.",9
猪八戒,师父,student-teacher,"Zhu Bajie refers to their master as '师父' and is planning to seek help for the master's rescue, indicating a student-teacher relationship.",8
小龙,师父,student-teacher,"Xiao Long is concerned for his master's well-being and has attempted to rescue him, indicating a student-teacher relationship.",8
猪八戒,孙行者,acquaintances,"Zhu Bajie has a history with Sun Wukong and is planning to seek his help, indicating an acquaintance relationship despite some past conflict.",6
小龙,孙行者,potential_allies,"Xiao Long suggests that Zhu Bajie should seek help from Sun Wukong, indicating that they could be potential allies in the fight against the monster.",7
银安殿,怪物,residence,"The monster resides in the Yin'an Hall, indicating a residence relationship.",8
御水河,小龙,refuge,"Xiao Long uses the river as a place of refuge after his defeat, indicating a refuge relationship.",7
花果山,孙行者,residence,"Hua Guo Mountain is the home of Sun Wukong, indicating a residence relationship.",8
高老庄,猪八戒,potential_refuge,"Zhu Bajie considers going to Gao Lao Zhuang as a place of refuge, indicating a potential refuge relationship.",6
猪八戒,唐僧,师徒关系,猪八戒是唐僧的二徒弟，文中提到猪八戒来请孙悟空回去，说明他们之间存在师徒关系。,9
猪八戒,孙悟空,师兄弟关系,猪八戒与孙悟空都是唐僧的徒弟，文中他们之间的互动体现了师兄弟之间的关系。,9
孙悟空,花果山,故乡关系,花果山是孙悟空的故乡，文中描述了他对花果山的整理和八戒的赞美，表明他与花果山有深厚的故乡之情。,10
孙悟空,水帘洞,居所关系,水帘洞是孙悟空在花果山的居所，文中提及他想邀请八戒去水帘洞耍耍，说明这是他的居所。,10
呆子,东洋大海,旅行经过,文中提到呆子（猪八戒）跨越东洋大海来到花果山，表明他曾旅行经过此地。,7
孙悟空,山凹,活动地点,孙悟空在山凹里聚集群妖，说明这是他在花果山的活动地点之一。,8
猪八戒,山凹,寻找行为,猪八戒在山凹边溜达，寻找孙悟空，这体现了他在山凹的寻找行为。,6
行者,呆子,师兄弟关系,行者与呆子是唐僧的两个徒弟，共同保护唐僧西天取经，在这段文字中他们之间的互动体现了师兄弟之间的关系。,8.0
行者,唐僧,师徒关系,行者是唐僧的大徒弟，对唐僧非常忠诚，愿意为救师傅冒险，这表现了他们之间深厚的师徒关系。,9.0
行者,沙僧,师兄弟关系,行者与沙僧都是唐僧的徒弟，虽然文中没有直接互动，但共同的目标使他们之间形成了紧密的师兄弟关系。,7.5
行者,黄袍怪,敌对关系,行者与黄袍怪是明显的敌对关系，黄袍怪曾捉住唐僧，而孙悟空为救师傅必须降服黄袍怪。,9.5
行者,宝象国王,救助关系,行者通过救助宝象国王的女儿，帮助国王解决了黄袍怪的麻烦，形成了救助者与被救助者的关系。,7.0
行者,白龙马,同伴关系,白龙马是唐僧的坐骑，也是孙悟空的同伴，共同保护唐僧取经，体现了同伴之间的互助关系。,7.5
行者,水帘洞,居所关系,水帘洞是孙悟空的居所，他在这里自在耍子，体现了居所与居住者的关系。,6.0
行者,黄金宝塔,事件关系,黄金宝塔是黄袍怪的所在地，孙悟空因救唐僧而与黄金宝塔产生了事件性的联系。,5.5
行者,银安殿,事件关系,孙悟空在银安殿为了救唐僧而与黄袍怪发生了战斗，因此与银安殿产生了事件性的联系。,5.5
行者,花果山,出生地关系,花果山是孙悟空的出生地，也是他领导的猴群的居住地，体现了出生地与居住地的关系。,7.0
大圣,八戒,师兄弟关系,大圣和八戒携手驾云，体现了他们之间的师兄弟关系，他们共同行动，关系紧密。,9.0
大圣,沙僧,师兄弟关系,大圣救沙僧，沙僧对大圣的到来表现出极大的喜悦，表明他们之间有深厚的师兄弟情谊。,9.0
八戒,沙僧,师兄弟关系,八戒告知沙僧他和大圣的计划，并一同行动，显示了他们之间的师兄弟关系。,8.5
大圣,黄袍怪,敌对关系,大圣与黄袍怪有冲突，大圣计划对付黄袍怪，显示了他们之间的敌对关系。,9.0
公主,黄袍怪,伴侣关系,公主是黄袍怪的伴侣，对黄袍怪的命令有所顾虑，体现了他们之间的伴侣关系。,8.0
沙僧,黄袍怪,敌对关系,沙僧被黄袍怪困住，大圣来救沙僧，显示了沙僧与黄袍怪之间的敌对关系。,7.5
大圣,东洋大海,行动关系,大圣和八戒经过东洋大海，体现了他们与地点的移动关系。,6.0
大圣,西岸,行动关系,大圣和八戒到达西岸，体现了他们与地点的到达关系。,6.0
大圣,云光,行动关系,大圣在云光处让八戒慢行，体现了他们与地点的临时停留关系。,5.5
大圣,金塔,行动关系,大圣在金塔处计划对付黄袍怪，体现了他们与地点的策略关系。,6.5
大圣,波月洞,敌对关系,大圣在波月洞外与公主交涉，并计划对付黄袍怪，体现了他们之间的敌对关系。,7.0
大圣,宝象城,策略关系,大圣指令八戒和沙僧前往宝象城，体现了他们与地点的策略关系。,6.0
八戒,金銮殿,行动关系,八戒和沙僧将在金銮殿上执行大圣的计划，体现了他们与地点的行动关系。,6.0
八戒,白玉阶,行动关系,八戒和沙僧将在白玉阶前执行大圣的计划，体现了他们与地点的行动关系。,6.0
公主,波月洞,居住关系,公主在波月洞中被黄袍怪摄骗，体现了她与地点的居住关系。,5.0
白马,八戒,协作关系,白马与八戒商议请大圣来救沙僧，体现了他们之间的协作关系。,7.0
孙悟空行者,沙僧,师兄弟关系,沙僧对孙悟空行者的到来感到高兴，并请求救助，显示了他们之间的师兄弟关系。,8.5
长老,沙僧,尊称关系,公主对沙僧的尊称，体现了他们之间的尊称关系。,4.5
行者,公主,救助关系,行者帮助公主脱离与妖魔的关系，并指导她如何行动，体现了救助关系。,7.5
行者,八戒,师兄弟关系,行者与八戒同是唐僧的徒弟，共同对抗妖魔，体现了师兄弟关系。,8.0
行者,沙僧,师兄弟关系,行者与沙僧同是唐僧的徒弟，一起行动对抗妖魔，体现了师兄弟关系。,7.5
行者,黄袍妖精,敌对关系,行者与黄袍妖精之间存在明显的对抗和战斗，是敌对关系。,9.0
黄袍妖精,公主,夫妻关系,文本中提到黄袍妖精与公主做了十三年夫妻，这是他们的关系。,8.5
八戒,沙僧,师兄弟关系,八戒与沙僧同是唐僧的徒弟，一起行动，体现了师兄弟关系。,7.0
黄袍妖精,宝象国,敌对关系,黄袍妖精在宝象国造成威胁，与国王和朝廷存在敌对关系。,7.5
行者,唐僧,师徒关系,行者是唐僧的大徒弟，尽管被逐出但仍然回来救助师父，体现了师徒关系。,9.0
黄袍妖精,朝中,敌对关系,黄袍妖精与宝象国朝中的官员们存在敌对关系，因为他的行为被朝廷视为威胁。,7.0
黄袍妖精,银安殿,居所关系,黄袍妖精在银安殿中居住，这是他的居所。,6.5
大圣,南天门,行动地点,大圣怒发冲冠，攥着铁棒，打个筋斗，只跳到南天门上，准备打入天门，因此他们之间存在行动地点的关系。,7.5
大圣,庞刘苟毕,对抗关系,庞刘苟毕等众见到大圣怒发冲冠，都不敢拦阻，两边躬身控背，因此他们之间存在一种对抗关系。,4.0
大圣,张陶邓辛,对抗关系,张陶邓辛等众见到大圣也不敢拦阻，因此他们之间也存在一种对抗关系。,4.0
大圣,张葛许邱四大天师,询问关系,四大天师见到大圣，主动问道大圣何来，因此他们之间存在一种询问关系。,5.5
大圣,唐僧,师徒关系,大圣是唐僧的大徒弟，因保唐僧至宝象国而与妖魔赌斗，体现了紧密的师徒关系。,9.0
大圣,妖魔,敌对关系,大圣与妖魔在宝象国进行赌斗，因为他们之间存在敌对关系。,8.0
大圣,玉帝,上奏关系,大圣将妖魔之事上奏玉帝，请求玉帝裁决，体现了上奏关系。,6.5
大圣,奎木狼,敌对关系,大圣拦住奎木狼要打，但后来得知真相，奎木狼被贬去烧火，他们之间存在敌对关系。,7.0
大圣,八戒,师兄弟关系,八戒和沙僧在半空中高叫，与大圣互动，他们是师兄弟关系。,8.5
大圣,沙僧,师兄弟关系,沙僧同样在半空中与大圣互动，他们之间也存在师兄弟关系。,8.5
大圣,国王,救助关系,大圣救了公主，并告知国王真相，国王感谢大圣的恩德，因此他们之间存在救助关系。,7.0
大圣,假虎,救助关系,大圣与众官抬出铁笼，解救了被妖术变化的假虎，实际上是大圣的师父，因此他们之间存在救助关系。,8.0
樵子,长老,警告关系,樵子警告长老此山有毒魔狠怪，表现出了对长老的关心和提醒，因此他们之间存在一种警告关系。,7
行者,长老,保护关系,行者是长老的大徒弟，负责保护长老西天取经，在故事中多次表现出对长老的关心和保护，因此他们之间存在紧密的保护关系。,9
行者,樵子,交流关系,行者和樵子在故事中进行了一系列的对话交流，樵子对行者的能力表示怀疑，行者则表现出自信，因此他们之间存在一种交流关系。,6
八戒,长老,师徒关系,八戒是长老的二徒弟，与长老一同西行取经，他们之间存在师徒关系。,8
日值功曹,行者,提醒关系,日值功曹在云端提醒行者要小心保护唐僧，表现出一种提醒和关心，因此他们之间存在提醒关系。,7
平顶山,莲花洞,位置关系,莲花洞位于平顶山中，是山中的一部分，因此他们之间存在位置关系。,8
莲花洞,樵子,知识关系,樵子了解莲花洞中魔头的情况并告知长老和行者，表现出了对莲花洞的了解，因此他们之间存在知识关系。,6
莲花洞,行者,敌对关系,莲花洞中的魔头计划捕捉唐僧，而行者负责保护唐僧，他们之间形成了敌对关系。,9
行者,功曹,信息交流,行者在听到功曹的汇报后，做出了相应的行动计划，表明他们之间存在信息交流的关系。,7
行者,长老,师徒关系,行者是长老的大徒弟，他们之间有直接的师徒关系，并且在故事中行者多次与长老对话，显示了他们关系密切。,9
行者,八戒,师兄弟关系,行者和八戒都是长老的徒弟，他们之间是师兄弟的关系，且在故事中行者对八戒的行为有所评价和互动，表明他们关系紧密。,8
八戒,沙僧,师兄弟关系,八戒和沙僧同样都是长老的徒弟，他们之间是师兄弟的关系，八戒在故事中与沙僧有直接的对话和互动。,7
八戒,流沙河,曾经所在,八戒提到流沙河，表明他曾经在那里待过，与流沙河有过去的联系。,6
八戒,高老庄,向往之地,八戒提到高老庄，显示他对这个地方有向往之情。,5
长老,山,旅程挑战,长老是取经团队的首领，山是他们旅程中遇到的挑战之一，他们之间存在着克服困难的关系。,7
行者,妖怪,敌对关系,行者在故事中提到妖怪的凶狠，表明他们之间存在敌对关系。,6
行者,长老,师徒关系,行者是长老的大徒弟，多次帮助师傅，体现了紧密的师徒关系。,9.0
行者,八戒,师兄弟关系,行者是八戒的师兄，他们共同协助长老取经，在故事中行者多次戏弄八戒，表现出师兄弟间的互动。,8.0
八戒,山凹里,行为地点关系,八戒曾在山凹里的红草坡睡觉，这是他行为发生的地点。,7.5
八戒,红草坡,行为地点关系,八戒在红草坡上睡觉，并被行者捉弄，这是故事中具体的行为地点。,8.0
八戒,石头山,虚构地点关系,八戒在巡山中虚构了石头山作为他编造的谎言的一部分，这是他行为的结果。,6.5
八戒,石头洞,虚构地点关系,八戒在巡山中虚构了石头洞，这是他为了逃避责任而编造的谎言。,6.5
行者,山凹里,行为地点关系,行者跟踪八戒到山凹里，并在此地变化成啄木虫捉弄八戒，这是他的行为地点。,7.0
行者,红草坡,行为地点关系,行者在红草坡上变化成蟭蟟虫，钉在八戒耳朵后面，这是他行为发生的地点。,7.0
行者,石头山,揭露谎言关系,行者揭穿了八戒关于石头山的谎言，这是他们之间互动的一部分。,7.0
行者,石头洞,揭露谎言关系,行者知道八戒虚构了石头洞，并揭露了这个谎言，体现了他们之间的互动。,7.0
行者,八戒,师兄弟关系,文本中行者与八戒的对话和互动体现了他们是师出同门的兄弟，关系密切，因此关系强度较高。,8.0
行者,师父,师徒关系,行者称师父并听从其命令，表明他们之间存在师徒关系，且关系非常紧密。,9.0
八戒,师父,师徒关系,八戒寻求师父的帮助，并听从师父的安排，表明他们之间存在师徒关系，关系密切。,8.5
平顶山,莲花洞,地点包含关系,莲花洞是平顶山上的一个洞穴，所以它们之间存在地点的包含关系。,7.0
莲花洞,金角大王,居住地关系,文本中提到金角大王在莲花洞中，表明金角大王居住在莲花洞中，关系明确。,7.5
莲花洞,银角大王,居住地关系,文本中提到银角大王在莲花洞中，表明银角大王也居住在莲花洞中，关系明确。,7.5
三藏,孙大圣,师徒关系,三藏是孙大圣的师父，孙大圣表现出对师父的忠心和保护意识，两人关系密切。,9.0
三藏,沙僧,师徒关系,沙僧是三藏的徒弟，忠诚可靠，在三藏救助道士的过程中给予帮助，体现了师徒之间的紧密关系。,8.5
三藏,道士,救助关系,三藏出于慈悲心肠，救助了自称是道士的伤者，尽管后来揭示该道士实为妖怪所化。,7.0
孙大圣,道士,敌对关系,孙大圣识破了道士的真实身份是妖怪，并对其持有敌对态度，两者之间存在明显的对抗性关系。,8.0
沙僧,道士,敌对关系,沙僧在不知情的情况下帮助驮负道士，但后来识破其真实身份并与之一战，表现出了敌对关系。,7.5
道士,虎豹,遭遇关系,道士自称是在遭遇虎豹后受伤的，这是其受伤背景的描述，两者之间存在间接关系。,6.0
道士,清幽观宇,归属关系,道士自称来自清幽观宇，尽管这是其虚假身份的一部分，但表现出了归属关系。,5.5
道士,山南里施主家,活动关系,道士提到曾去山南里施主家禳星，这是其活动轨迹的一部分，两者之间存在活动关系。,5.0
道士,莲花洞,归属关系,道士最终将三藏师徒摄至莲花洞，揭示其与莲花洞妖怪的关系，表现出归属关系。,7.0
孙行者,老魔,敌人关系,老魔计划用宝贝捉住孙行者，并称孙行为'这厮'，表现出明显的敌对关系。,8.0
孙行者,二魔,敌人关系,二魔指使小妖用宝贝捉拿孙行者，并对其有明显的敌意。,8.0
唐僧,老魔,捕食关系,老魔想吃唐僧，将其视为'口里的食'，表现出捕食者与被捕食者的关系。,7.5
唐僧,二魔,捕食关系,二魔同样想吃唐僧，与老魔一同计划，具有相同的捕食意图。,7.5
孙行者,唐僧,师徒关系,孙悟空是唐僧的大徒弟，故事中多次表现出对唐僧的忠诚与保护。,9.5
孙行者,沙和尚,同门关系,孙悟空与沙和尚都是唐僧的徒弟，一同经历困难。,8.0
孙行者,猪八戒,同门关系,孙悟空与猪八戒同属唐僧的徒弟，共同面对妖魔的挑战。,8.0
孙行者,山神土地,误会关系,山神土地因不知情而协助妖魔压住孙悟空，后得知真相后释放孙悟空。,6.5
孙行者,五方揭谛神众,救助关系,五方揭谛神众帮助孙悟空脱困，表现出救助者的关系。,7.0
孙行者,花果山,出生地关系,花果山是孙悟空的出生地，对其有特殊的意义。,7.5
孙行者,两界山,历史关系,孙悟空曾被压在两界山下五百年，是其历史上的重要地点。,7.0
孙行者,三山门外,释放地关系,孙悟空在三山门外被山神土地释放，是事件发生的地点。,6.5
孙行者,蓬莱山,伪装关系,孙悟空为了对付妖魔，假称自己是来自蓬莱山的道士。,6.0
孙行者,精细鬼,欺骗关系,孙行者明知故问精细鬼和伶俐虫的来历，并假装与他们合作，意图欺骗他们以获取宝贝。,7
孙行者,伶俐虫,欺骗关系,孙行者用计谋试图骗取伶俐虫和精细鬼的宝贝，体现了他们之间的智斗关系。,7
行者,唐僧,师徒关系,行者即孙悟空，是唐僧的大徒弟，忠诚地保护唐僧西行取经。,9
行者,玉帝,请求关系,行者通过日游神等向玉帝请求装天的帮助，显示了行者和玉帝之间的请求与被请求的关系。,6
行者,哪吒,帮助关系,哪吒太子帮助行者实现装天的计划，展示了哪吒对行者的支持。,8
精细鬼,伶俐虫,同伴关系,精细鬼与伶俐虫一起出现，并且互相商议与行者的互动，表明他们是同伴。,7
莲花洞,精细鬼,来源关系,精细鬼来自莲花洞，这是他们的居所。,8
莲花洞,伶俐虫,来源关系,伶俐虫也来自莲花洞，与精细鬼同属一处。,8
山上,行者,到达关系,行者到达山上，在这里遇到了精细鬼和伶俐虫。,5
南天门,哪吒,活动关系,哪吒在南天门施展法术帮助行者装天，是哪吒活动的地点。,6
北天门,真武,主宰关系,北天门是真武大帝的居所，真武在此处将旗交给哪吒太子。,8
哪吒太子,行者,神助手关系,哪吒太子展开皂旗帮助行者遮蔽天日，而行者之后感谢哪吒太子的帮助，表明他们之间存在合作与互助的关系。,7.5
行者,小妖,欺骗关系,行者用计谋欺骗小妖，换取了宝贝，并最终让小妖们落得两手空空，这表明他们之间存在明显的欺骗与被欺骗的关系。,9.0
行者,精细鬼,欺骗关系,行者巧妙地让精细鬼和伶俐虫交出宝贝，并最终让精细鬼意识到自己被骗，这表明他们之间存在直接的欺骗关系。,8.0
行者,伶俐虫,欺骗关系,伶俐虫与精细鬼一同被行者欺骗，交出了宝贝，这表明伶俐虫与行者之间也存在欺骗与被欺骗的关系。,8.0
行者,渤海岸,地理位置关系,行者描述了渤海岸的险要，并以此恐吓小妖，说明行者在故事中对渤海岸的地理位置有直接的描述和利用。,6.5
哪吒太子,南天门,守护关系,哪吒太子在南天门上展开皂旗，这表明他在南天门有一定的职责和守护的作用。,7.0
哪吒太子,真武,归还关系,哪吒太子将旗送还给真武，说明他们之间存在物品的交接和归还关系。,5.5
孙大圣,行者,同一人关系,孙大圣即是行者孙悟空，这是同一人物的不同称谓，说明他们是同一人。,10.0
行者,小妖,跟踪关系,行者变成苍蝇跟踪小妖，以获取他们的计划信息，这表明行者与小妖之间存在一种跟踪与被跟踪的关系。,7
行者,老魔,敌对关系,老魔计划用宝贝捉拿行者，而行者则通过偷听获取信息，准备对抗老魔，这表明他们之间存在明显的敌对关系。,9
行者,二魔,敌对关系,二魔参与制定了捉拿行者的计划，并且行者对此有所了解，他们之间也存在着对立的关系。,8
行者,蓬莱山神仙,间接敌对关系,蓬莱山神仙因行者而恼怒，虽然没有直接与行者发生冲突，但这种情绪表明他们之间存在间接的敌对关系。,6
小妖,老魔,上下级关系,小妖向老魔报告情况，接受命令，这表明他们之间存在上下级的关系。,8
小妖,二魔,上下级关系,二魔给小妖下达命令，小妖遵从，这体现了他们之间有上下级的关系。,8
老魔,二魔,兄弟关系,文中明确提到二魔是老魔的兄弟，他们共同商议捉拿行者的计划，这表明他们之间是兄弟关系。,9
巴山虎,二魔,上下级关系,二魔命令巴山虎去请老奶奶，这表明巴山虎与二魔之间是上下级关系。,7
倚海龙,二魔,上下级关系,倚海龙同样接受二魔的命令去请老奶奶，说明他们之间存在上下级关系。,7
小妖,蓬莱山神仙,偶遇关系,小妖在半山遇到蓬莱山神仙，并与之交谈，这是一种短暂的、偶然的遭遇关系。,4
小妖,压龙山压龙洞,目的地关系,小妖要前往压龙山压龙洞请老奶奶，这表明压龙山压龙洞是小妖的目的地。,5
老魔,压龙山压龙洞,家庭关系,文中提到压龙山压龙洞是老奶奶的居所，老魔可能是老奶奶的儿子，因此他们之间存在家庭关系。,6
倚海龙,行者,合作关系,倚海龙与行者合作，倚海龙指路，行者进行变化伪装，共同前往压龙洞请老奶奶。,7
行者,乌林子,行动地点,行者根据倚海龙的指示，在乌林子中找寻老怪，并在这里进行了变化伪装。,6
行者,巴山虎,变化关系,行者用毫毛变化出巴山虎，用于伪装自己，以便进入压龙洞。,8
行者,平顶山莲花洞,伪装来源,行者假称是从平顶山莲花洞差来，以骗取老怪的信任。,5
行者,压龙洞,目的地,行者变化的目的是前往压龙洞，这里是老奶奶的居所。,9
行者,西天,信仰地点,行者提到曾去西天拜佛祖，表明了他的信仰和经历。,4
行者,南海,信仰地点,行者提到曾去南海拜观音，说明他与观音菩萨的联系。,4
行者,两界山,拜师地点,行者提到在两界山拜了师父，这是他的师徒关系的来源。,6
行者,轿夫,互动关系,行者和轿夫有关于食物的对话，表现出一定的互动关系。,5
行者,小怪,利用关系,行者利用小怪的天真无邪，将其轿子变为大烧饼，并成功欺骗了小怪。,6
行者,老怪,敌对关系,行者识破老怪（九尾狐狸）的身份并击败它，他们之间存在敌对关系。,8
行者,巴山虎,创造关系,行者用毫毛变化出巴山虎，用来欺骗莲花洞的其他妖怪，存在创造关系。,7
行者,倚海龙,创造关系,行者用毫毛变化出倚海龙，用来欺骗莲花洞的其他妖怪，存在创造关系。,7
行者,毫毛变的小妖,创造关系,行者用毫毛变化出小妖，用来欺骗莲花洞的把门小妖，存在创造关系。,7
行者,猪八戒,师兄弟关系,行者和猪八戒都是唐僧的徒弟，他们之间存在师兄弟关系。,8
行者,沙僧,师兄弟关系,行者和沙僧都是唐僧的徒弟，他们之间存在师兄弟关系。,8
行者,老魔头,敌对关系,老魔头因畏惧行者而想要送还唐僧师徒，他们之间存在敌对关系。,8
行者,二魔,敌对关系,二魔想要与行者比试以决定唐僧师徒的命运，他们之间存在敌对关系。,9
行者,唐僧,师徒关系,行者是唐僧的大徒弟，他们之间存在师徒关系。,10
行者,莲花洞,敌对关系,莲花洞是妖怪的居所，行者和莲花洞的妖怪之间存在敌对关系。,8
莲花洞,老怪,居所关系,老怪是莲花洞的主人，存在居所关系。,7
莲花洞,巴山虎,欺骗关系,行者用巴山虎欺骗莲花洞的其他妖怪，存在欺骗关系。,6
莲花洞,倚海龙,欺骗关系,行者用倚海龙欺骗莲花洞的其他妖怪，存在欺骗关系。,6
莲花洞,毫毛变的小妖,欺骗关系,行者用毫毛变化的小妖欺骗莲花洞的把门小妖，存在欺骗关系。,6
莲花洞,老魔头,居所关系,老魔头是莲花洞的魔头之一，存在居所关系。,7
莲花洞,二魔,居所关系,二魔是莲花洞的魔头之一，存在居所关系。,7
行者,泼怪,对手关系,行者和泼怪在半空中进行了一场激烈的战斗，两者棋逢对手，将遇良才，表现出明显的对手关系。,7.5
行者,大圣,同一人关系,行者即是孙悟空，也被称为大圣，两者是同一人的不同称呼，关系非常紧密。,10.0
行者,八戒,师兄弟关系,行者和八戒都是唐僧的徒弟，二者之间是师兄弟的关系，在同一团队中共同经历困难。,8.0
太宗,魏征,君臣关系,太宗与魏征在便殿对弈，体现了君臣关系，魏征是太宗的重要辅臣，两人关系密切。,8.5
泼怪,老魔,同伴关系,泼怪与老魔在对战行者的事件中，表现出是同伙的关系，一起行动，关系较为紧密。,7.0
老魔,二魔,同伴关系,老魔与二魔在对战行者的事件中，是同一伙妖怪，共同行动，表现出同伴关系。,7.5
南山,北海,象征性地点关系,南山与北海在文中作为战斗场景的象征，虽然没有直接关系，但在文中的使用有相互呼应的效果。,4.0
泼怪,洞里,居住地关系,泼怪将行者带入洞里，显示洞里是泼怪及其同伙的居住地，存在居住地关系。,6.0
老魔,洞里,居住地关系,老魔和二魔在洞里饮酒，表明洞里是他们的居住地，与泼怪同样存在居住地关系。,6.5
行者,小妖,对手关系,行者在故事中与小妖有直接的交流和对抗，小妖是老魔的手下，与行者存在敌对关系。,6.0
行者,老魔,对手关系,行者和老魔在故事中是对手，老魔试图捉住行者，行者则智斗老魔，因此他们之间存在明显的对抗关系。,8.0
